2022-04-26 13:28:12,807 - DEBUG    - client.py - Запущены процессы
2022-04-26 13:29:33,859 - DEBUG    - client.py - Сформирован словарь сообщения: {'action': 'message', 'from': 'test2', 'to': 'test1', 'time': 1650954573.8599653, 'mess_text': 'hi from test2'}
2022-04-26 13:29:33,859 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64869), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'from': 'test2', 'to': 'test1', 'time': 1650954573.8599653, 'mess_text': 'hi from test2'}), {}.Вызов из модуля common.utils.
2022-04-26 13:29:33,859 - INFO     - client.py - Отправлено сообщение для пользователя: test1
2022-04-26 13:29:33,859 - DEBUG    - decos.py - Была вызвана функция create_message с параметрами (<socket.socket fd=308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64869), raddr=('127.0.0.1', 7777)>, 'test2'), {}.Вызов из модуля __main__.
2022-04-26 13:29:33,969 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=436, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64867), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.
2022-04-26 13:29:33,969 - INFO     - client.py - Получено сообщение от пользователя test2:
hi from test2
2022-04-26 13:30:12,997 - DEBUG    - client.py - Сформирован словарь сообщения: {'action': 'message', 'from': 'test1', 'to': 'test3', 'time': 1650954612.9975722, 'mess_text': 'hi from test2'}
2022-04-26 13:30:12,997 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=436, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64867), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'from': 'test1', 'to': 'test3', 'time': 1650954612.9975722, 'mess_text': 'hi from test2'}), {}.Вызов из модуля common.utils.
2022-04-26 13:30:12,997 - INFO     - client.py - Отправлено сообщение для пользователя: test3
2022-04-26 13:30:12,997 - DEBUG    - decos.py - Была вызвана функция create_message с параметрами (<socket.socket fd=436, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64867), raddr=('127.0.0.1', 7777)>, 'test1'), {}.Вызов из модуля __main__.
2022-04-26 13:30:13,481 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64868), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.
2022-04-26 13:30:13,481 - INFO     - client.py - Получено сообщение от пользователя test1:
hi from test2
